echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
nnns_stress_visual12,Visual: Tight blinking,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Tight blinking: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual13,Visual: Other abnormal eye signs,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Other abnormal eye signs: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_gastro1,Gastrointestinal: Gagging/choking,"No, Yes, Not applicable, Declined, Don't know, Missing","Gastrointestinal: Gagging/choking: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_gastro2,"Gastrointestinal: Loose stools, watery stools","No, Yes, Not applicable, Declined, Don't know, Missing","Gastrointestinal: Loose stools, watery stools: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_gastro3,"Gastrointestinal: Excessive gas, bowel sounds","No, Yes, Not applicable, Declined, Don't know, Missing","Gastrointestinal: Excessive gas, bowel sounds: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state1,State: High pitched cry,"No, Yes, Not applicable, Declined, Don't know, Missing","State: High pitched cry: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state2,State: Monotone pitch cry,"No, Yes, Not applicable, Declined, Don't know, Missing","State: Monotone pitch cry: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state3,State: Weak cry,"No, Yes, Not applicable, Declined, Don't know, Missing","State: Weak cry: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state4,State: No cry,"No, Yes, Not applicable, Declined, Don't know, Missing","State: No cry: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state5,State: Extreme irritability,"No, Yes, Not applicable, Declined, Don't know, Missing","State: Extreme irritability: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state6,State: Abrupt state changes,"No, Yes, Not applicable, Declined, Don't know, Missing","State: Abrupt state changes: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_state7,State: Inability to achive quiet awake state (State 4),"No, Yes, Not applicable, Declined, Don't know, Missing","State: Inability to achive quiet awake state (State 4): No, Yes, Not applicable, Declined, Don't know, Missing"
chaos_01,1. There is very little commotion in our home.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","1. There is very little commotion in our home.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_02,2. We can usually find things when we need them.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","2. We can usually find things when we need them.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_03,3. We almost always seem to be rushed.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","3. We almost always seem to be rushed.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_04,4. We are usually able to stay on top of things.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","4. We are usually able to stay on top of things.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_05,"5. No matter how hard we try, we always seem to be running late.","Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","5. No matter how hard we try, we always seem to be running late.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_06,6. It's a real zoo in our home.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","6. It's a real zoo in our home.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_07,7. At home we can talk to each other without being interrupted.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","7. At home we can talk to each other without being interrupted.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_08,8. There is often a fuss going on at our home.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","8. There is often a fuss going on at our home.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_09,"9. No matter what our family plans, it usually doesn't seem to work out.","Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","9. No matter what our family plans, it usually doesn't seem to work out.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
chaos_10,10. You can't hear yourself think in our home.,"Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing","10. You can't hear yourself think in our home.: Very much like your own home, Somewhat like your own home, A little bit like your own home, Not at all like your own home, Not applicable, Declined, Don't know, Unanswered/Don't know, Missing"
